,room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,latitude,longitude,boroughs
0,10176931,49180562,Shared room,De Pijp / Rivierenbuurt,7,4.5,2,1.0,156.0,Red Light/ Canal view apartment (Shared),52.356209,4.887491,Zuid
1,8935871,46718394,Shared room,Centrum West,45,4.5,4,1.0,126.0,Sunny and Cozy Living room in quite neighbours,52.378518,4.89612,Centrum
2,14011697,10346595,Shared room,Watergraafsmeer,1,0.0,3,1.0,132.0,Amsterdam,52.338811,4.943592,Oost
3,6137978,8685430,Shared room,Centrum West,7,5.0,4,1.0,121.0,Canal boat RIDE in Amsterdam,52.376319,4.890028,Centrum
4,18630616,70191803,Shared room,De Baarsjes / Oud West,1,0.0,2,1.0,93.0,One room for rent in a three room appartment,52.370384,4.852873,West
5,5790170,29968916,Shared room,De Pijp / Rivierenbuurt,184,4.5,2,1.0,102.0,Beautiful apartment,52.342265,4.897126,Zuid
6,934060,5037506,Shared room,Oostelijk Havengebied / Indische Buurt,67,5.0,16,1.0,462.0,"LOTUS, Classic Dutch Saling Barge ",52.377552,4.930418,Oost
7,19590049,132687356,Shared room,Westerpark,2,0.0,2,1.0,414.0,big boot Adam 04,52.375205,4.866117,West
8,5020280,4059485,Shared room,Oud Oost,2,0.0,2,1.0,222.0,Bright modern appartment in East!,52.357346,4.912887,Oost
9,15810783,84978218,Shared room,Centrum West,0,0.0,12,1.0,301.0,"CANAL BOATTOUR AMSTERDAM covered boat 1,5 hour",52.38661,4.890128,Centrum
10,9188521,29968916,Shared room,De Pijp / Rivierenbuurt,26,5.0,4,1.0,246.0,Beautiful apartment!,52.342445,4.89695,Zuid
11,10162121,4555726,Shared room,Centrum Oost,10,4.5,4,1.0,198.0,APARTMENT IN CENTER OF AMSTERDAM,52.366271,4.896251,Centrum
12,14217287,7490631,Shared room,Centrum Oost,0,0.0,2,1.0,180.0,Luxury room in renovated 17th century house,52.36056,4.888896,Centrum
13,19304350,89256471,Shared room,De Baarsjes / Oud West,1,0.0,2,1.0,180.0,Apartment city center,52.358221,4.85681,West
14,9060570,47264416,Shared room,Oostelijk Havengebied / Indische Buurt,15,4.0,4,1.0,48.0,sleeping schip Verandering R B&b 2,52.378351,4.94113,Oost
15,13797285,12570608,Shared room,Oostelijk Havengebied / Indische Buurt,2,0.0,1,1.0,42.0,Double super comfy sofa bed in A'dam Oost ;),52.365477,4.937313,Oost
16,8692643,12950894,Shared room,Geuzenveld / Slotermeer,3,4.0,1,1.0,45.0,Single boxspr bed in a living room.,52.379516,4.800987,Nieuw-West
17,12314602,31766654,Shared room,De Pijp / Rivierenbuurt,11,4.0,2,1.0,48.0,Simple sleeping place de Pijp,52.349974,4.89961,Zuid
18,18985831,22542624,Shared room,Buitenveldert / Zuidas,6,5.0,2,1.0,60.0,Comfortable double bedroom,52.3293,4.861808,Zuid
19,11122903,13122312,Shared room,Buitenveldert / Zuidas,6,4.5,2,1.0,48.0,Amsterdam-South Cheerful Shared Apartment,52.326259,4.857729,Zuid
20,9088830,47264416,Shared room,Oud Noord,73,4.5,4,1.0,48.0,Sleep ship Verandering,52.39063,4.940112,West
21,9537235,45584652,Shared room,Westerpark,1,0.0,1,1.0,58.0,Room in the center of Amsterdam,52.382128,4.87798,West
22,14309046,31168044,Shared room,De Baarsjes / Oud West,60,4.5,2,1.0,54.0,Chez Eric - Stay inspired close to vondelpark!,52.360034,4.863982,West
23,19243789,47752678,Shared room,De Pijp / Rivierenbuurt,1,0.0,1,1.0,60.0,Appartement Amsterdam Rivierenbuurt,52.347614,4.900029,Zuid
24,18337741,1352571,Shared room,Bos en Lommer,9,5.0,1,1.0,54.0,WOMEN ONLY Cozy sofa + canal view in renovated apt,52.377693,4.850855,West
25,11785182,60750068,Shared room,Slotervaart,2,0.0,4,1.0,18.0,Relax 9 hours!,52.365632,4.849366,Nieuw-West
26,11522696,60750068,Shared room,Slotervaart,6,1.5,4,1.0,25.0,I'm Easy Guest - Just need to sleep,52.36353,4.839745,Nieuw-West
27,12243455,60750068,Shared room,De Baarsjes / Oud West,1,0.0,4,1.0,34.0,Surprice for 9 hours,52.364374,4.850631,West
28,14659123,91055585,Shared room,Geuzenveld / Slotermeer,4,5.0,2,1.0,36.0,Cheap Cosy Place West,52.377385,4.83054,Nieuw-West
29,7357538,38549823,Shared room,Geuzenveld / Slotermeer,0,0.0,16,1.0,31.0,Train Lodge Amsterdam near station,52.390047,4.841272,Nieuw-West
30,12243957,60750068,Shared room,Slotervaart,1,0.0,4,1.0,30.0,We love cheap for max 9 hours!,52.365576,4.838362,Nieuw-West
31,18356426,31596911,Shared room,Bijlmer Centrum,12,4.5,2,1.0,30.0,Shared Container apartment,52.320525,4.955946,Zuidoost
32,10668929,12027723,Shared room,Bos en Lommer,30,4.5,2,1.0,30.0,sleep on my couch and rock Am'dam!!,52.375382,4.849186,West
33,10201214,8497487,Entire home/apt,Ijburg / Eiland Zeeburg,19,5.0,8,4.0,763.0,Beautiful Watervilla in Amsterdam,52.348254,5.001477,Westpoort
34,3119298,15847782,Entire home/apt,Westerpark,1,0.0,8,3.0,445.0,Modern 5-8 person apartment,52.377581,4.873119,West
35,5372074,14390964,Entire home/apt,Centrum West,10,5.0,4,3.0,721.0,Prinsengracht Appartement,52.373078,4.884269,Centrum
36,10511291,5421078,Entire home/apt,Watergraafsmeer,1,0.0,8,3.0,1412.0,Whole house 200m2 Frankendael Park,52.350968,4.929821,Oost
37,18047871,9302267,Entire home/apt,Centrum West,0,0.0,4,4.0,541.0,Great 4 bedroom apartment at the flower market,52.36789,4.889273,Centrum
38,7468232,7215538,Entire home/apt,Noord-West / Noord-Midden,2,0.0,4,2.0,594.0,MuseumSquare apartment with garden,52.355169,4.883219,West
39,6485791,871328,Entire home/apt,De Pijp / Rivierenbuurt,23,4.5,4,4.0,661.0,Stuff of Dreams in Amsterdam Pijp,52.35494,4.902866,Zuid
40,5818567,29561840,Entire home/apt,De Aker / Nieuw Sloten,0,0.0,4,2.0,361.0,"Luxurous, modern, bright appartment",52.346007,4.81183,Nieuw-West
41,1245504,6786456,Entire home/apt,De Pijp / Rivierenbuurt,17,4.5,4,2.0,331.0,Beautiful apartment in Amsterdam,52.354111,4.902925,Zuid
42,1097121,6029062,Entire home/apt,Centrum Oost,15,5.0,6,4.0,409.0,Historic House in Center Amsterdam,52.368309,4.909591,Centrum
43,19980495,53730026,Entire home/apt,Noord West,0,0.0,5,2.0,210.0,True Tranquil Boho House - 15min from AMS CS,52.414253,4.883661,West
44,20003728,26861783,Entire home/apt,Centrum Oost,0,0.0,4,2.0,270.0,2-floor apartment in the centre with canal view!,52.364897,4.895932,Centrum
45,6419174,7689979,Entire home/apt,Centrum West,25,4.5,3,1.0,186.0,JORDAAN - cozy 2 room apartment,52.374855,4.87805,Centrum
46,17682178,42934313,Entire home/apt,Bijlmer Centrum,8,4.5,3,0.0,156.0,"Private studio, 20 minutes away from city center",52.319091,4.953274,Zuidoost
47,14060573,82283309,Entire home/apt,Ijburg / Eiland Zeeburg,2,0.0,4,4.0,179.0,GORGEOUS family house with sunny garden!,52.346421,5.008598,Westpoort
48,19992596,62831267,Entire home/apt,Bijlmer Oost,0,0.0,4,3.0,174.0,3 bedroom apartment and free parking in the area,52.317621,4.973309,Zuidoost
49,19845595,7601328,Entire home/apt,Oud Oost,0,0.0,4,2.0,132.0,"Lovely apartment with garden, close to the centre",52.355498,4.910895,Oost
50,5683725,29468440,Entire home/apt,Bijlmer Centrum,17,4.5,4,2.0,108.0,Nice & spacious apartment,52.317343,4.944083,Zuidoost
51,9816925,48703385,Entire home/apt,Centrum Oost,21,4.0,4,2.0,541.0,Two Floor City Centre Canal House,52.364932,4.885259,Centrum
52,3908795,20246324,Entire home/apt,Noord-West / Noord-Midden,11,5.0,6,4.0,594.0,Gorgeous House near Vondelpark area,52.354616,4.852802,West
53,11998169,1878355,Entire home/apt,Centrum Oost,1,0.0,6,3.0,541.0,Spacious and bright with character,52.367687,4.906021,Centrum
